Permit_Number,Expiration_Date,Business Name,Address_No,Address_St,Borough,City,State,Zipcode,BBL,BIN,Census_Tract_2010,City_Council_District,Community_District,NTA_Code,Latitude,Longitude
50045007,03/31/2022,"CLARITY WATER TECHNOLOGIES, LLC",50,N HARRISON AVE STE 10,OUTSIDE NYC,CLARKSTOWN,NY,10920,,,,,,,41.153806139891,-73.941521207805
41601700,03/31/2022,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
50064057,03/31/2022,FORSYTHE PLUMBING AND HEATING CORP,1424,118TH ST,QUEENS,COLLEGE POINT,NY,11356,4040520024,4098004,092900,19,407,QN23,40.78507452518,-73.849497130457
50107527,03/31/2022,GARRATT-CALLAHAN CO,50,INGOLD RD,OUTSIDE NYC,BURLINGAME,CA,94010,,,,,,,37.595141592499,-122.378445796233
40930302,03/31/2022,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
50104503,03/31/2022,INNOVATIVE WATER CONSULTING LLC,2999,COVENTRY LN,OUTSIDE NYC,GREENWOOD,IN,46143,,,,,,,39.571498561126,-86.207832658106
50038533,03/31/2022,"KLENZOID, INC",460,BRIELLE AVE,STATEN ISLAND,STATEN ISLAND,NY,10314,5009550100,5141697,018100,50,502,SI24,40.593790660708,-74.135436804831
41343608,03/31/2022,LIQUITECH INC,421,EISENHOWER LANE SOUTH,OUTSIDE NYC,LOMBARD,IL,60148,,,,,,,41.840518092099,-88.02411516006
50014370,03/31/2022,"MICROMANAGEMENT, INC",101,LINDENWOOD DR,OUTSIDE NYC,MALVERN,PA,19355,,,,,,,40.050399382669,-75.527103652006
41391123,03/31/2022,NALCO COMPANY,1501,BROADWAY,MANHATTAN,NEW YORK,NY,10036,1010150029,1024706,011900,03,105,MN17,40.741052798709,-73.947258996526
50006549,03/31/2022,ROCHESTER MIDLAND CORPORATION,2644,BOROUGH PL,QUEENS,WOODSIDE,NY,11377,4010170037,4022515,029700,22,401,QN63,40.760868129597,-73.902507380636
41547042,03/31/2022,THE METRO GROUP INC,50-23,23 STREET,QUEENS,LONG ISLAND CITY,NY,11101,4001040001,4000749,000100,26,402,QN31,40.741052798709,-73.947258996526
40346078,03/31/2021,ACQUA TREAT LTD,110,S 2ND ST,OUTSIDE NYC,NEW HYDE PARK,NY,11040,,,,,,,40.72919077204,-73.691520411641
41684938,03/31/2021,"BARCLAY WATER MANAGEMENT, INC",55,CHAPEL STREET,OUTSIDE NYC,NEWTON,MA,2458,,,,,,,42.363665980124,-71.20170426784
50045007,03/31/2021,"CLARITY WATER TECHNOLOGIES, LLC",50,N HARRISON AVE STE 10,OUTSIDE NYC,CLARKSTOWN,NY,10920,,,,,,,41.153806139891,-73.941521207805
41601700,03/31/2021,ENRICH PRODUCTS INC,1018,PENN AVENUE,OUTSIDE NYC,WILKINSBURG,PA,15221,,,,,,,40.441736990492,-79.8780003408951
50064057,03/31/2021,FORSYTHE PLUMBING AND HEATING CORP,1424,118TH ST,QUEENS,COLLEGE POINT,NY,11356,4040520024,4098004,092900,19,407,QN23,40.78507452518,-73.849497130457
40930302,03/31/2021,GOTHAM REFINING CHEMICAL CORP,23-74,48TH ST,QUEENS,ASTORIA,NY,11103,4007330072,4013608,014100,22,401,QN70,40.766128661355,-73.904376879461
